Bad Teinach-Zavelstein,Landkreis Calw
Bad Tennstedt,Unstrut-Hainich-Kreis
Bad Tölz,Landkreis Bad Tölz-Wolfratshausen
Bad Überkingen,Landkreis Göppingen
Bad Urach,Landkreis Reutlingen
Bad Vilbel,Wetteraukreis
Bad Waldsee,Landkreis Ravensburg
Bad Wiessee,Landkreis Miesbach
Bad Wildbad,Landkreis Calw
Bad Wildungen,Landkreis Waldeck-Frankenberg
Bad Wilsnack,Landkreis Prignitz
Bad Wimpfen,Landkreis Heilbronn
Bad Windsheim,Landkreis Neustadt an der Aisch-Bad Windsheim
Bad Wörishofen,Landkreis Unterallgäu
Bad Wünnenberg,Kreis Paderborn
Bad Wurzach,Landkreis Ravensburg
Bad Zwesten,Schwalm-Eder-Kreis
Bad Zwischenahn,Landkreis Ammerland
Baesweiler,Städteregion Aachen
Bahlingen,Landkreis Emmendingen
Bahrdorf,Landkreis Helmstedt
Bahrenborstel,Landkreis Diepholz
Bahrenfleth,Kreis Steinburg
Bahrenhof,Kreis Segeberg
Bahretal,Landkreis Sächsische Schweiz-Osterzgebirge
Baienfurt,Landkreis Ravensburg
Baierbach,Landkreis Landshut
Baierbrunn,Landkreis München
Baiern,Landkreis Ebersberg
Baiersbronn,Landkreis Freudenstadt
Baiersdorf,Landkreis Erlangen-Höchstadt
Baindt,Landkreis Ravensburg
Baisweil,Landkreis Ostallgäu
Bäk,Kreis Herzogtum Lauenburg
Bakum,Landkreis Vechta
Bälau,Kreis Herzogtum Lauenburg
Balderschwang,Landkreis Oberallgäu
Baldringen,Landkreis Trier-Saarburg
Balduinstein,Rhein-Lahn-Kreis
Balesfeld,Eifelkreis Bitburg-Prüm
